Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,40,12,T:System.Windows.Forms.Label,,,,,"this.progLbl.Name = ""progLbl"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,40,12,P:System.Windows.Forms.Control.Name,,,,,"this.progLbl.Name = ""progLbl"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,39,12,T:System.Windows.Forms.Label,,,,,"this.progLbl.Location = new System.Drawing.Point(355, 2);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,39,12,P:System.Windows.Forms.Control.Location,,,,,"this.progLbl.Location = new System.Drawing.Point(355, 2);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,38,12,T:System.Windows.Forms.Label,,,,,this.progLbl.ForeColor = System.Drawing.Color.White;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,38,12,P:System.Windows.Forms.Control.ForeColor,,,,,this.progLbl.ForeColor = System.Drawing.Color.White;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Drawing.GraphicsUnit,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Drawing.GraphicsUnit,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,F:System.Drawing.GraphicsUnit.Point,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Drawing.FontStyle,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Drawing.FontStyle,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,F:System.Drawing.FontStyle.Regular,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,37,12,T:System.Drawing.Font,,,,,"this.progLbl.Font = new System.Drawing.Font(""Consolas"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
